account_id,district_name,open_date,statement_frequency,num_customers,credit_cards,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
1,Pisek,1995-03-24,monthly,1,0,FALSE,NA,NA,NA,NA,NA,7500,15,0,30415,1000
2,Hl.m. Praha,1993-02-26,monthly,2,0,TRUE,80952,3373,24,expired,FALSE,42000,15,0,69302,1100
3,Kolin,1997-07-07,monthly,2,0,FALSE,NA,NA,NA,NA,NA,7400,15,0,53447,1000
4,Pribram,1996-02-21,monthly,1,0,FALSE,NA,NA,NA,NA,NA,5250,15,0,34870,800
5,Cesky Krumlov,1997-05-30,monthly,1,0,FALSE,NA,NA,NA,NA,NA,5100,15,0,32036,600
6,Trutnov,1994-09-27,monthly,1,0,FALSE,NA,NA,NA,NA,NA,11600,15,0,51879,900
7,Prostejov,1996-11-24,monthly,1,1,FALSE,NA,NA,NA,NA,NA,25800,15,1,99675,900
8,Hodonin,1995-09-21,monthly,2,0,FALSE,NA,NA,NA,NA,NA,40800,15,0,79255,900
9,Karvina,1993-01-27,monthly,1,0,FALSE,NA,NA,NA,NA,NA,38100,15,0,85444,400
10,Brno - mesto,1996-08-28,monthly,1,0,FALSE,NA,NA,NA,NA,NA,23840,15,0,83410,1100
11,Sumperk,1995-10-10,monthly,1,0,FALSE,NA,NA,NA,NA,NA,6700,15,0,40389,300
12,Tabor,1997-04-15,monthly,2,0,FALSE,NA,NA,NA,NA,NA,11000,15,0,29053,1100
13,Sumperk,1997-08-17,monthly,2,0,FALSE,NA,NA,NA,NA,NA,7500,15,0,29751,1000
14,Pardubice,1996-11-27,monthly,1,1,FALSE,NA,NA,NA,NA,NA,17200,15,6,59453,400
15,Karvina,1993-10-02,monthly,1,0,FALSE,NA,NA,NA,NA,NA,46720,15,0,66671,800
16,Pribram,1997-09-23,monthly,1,0,FALSE,NA,NA,NA,NA,NA,26300,15,0,60274,500
17,Hl.m. Praha,1997-01-08,monthly,2,0,FALSE,NA,NA,NA,NA,NA,25500,15,0,100815,700
19,Tabor,1995-04-07,monthly,1,0,TRUE,30276,2523,12,expired,TRUE,18500,1,0,58158,-10605
20,Ostrava - mesto,1996-08-24,monthly,1,0,FALSE,NA,NA,NA,NA,NA,4950,15,0,20458,500
21,Brno - mesto,1997-12-06,monthly,1,0,FALSE,NA,NA,NA,NA,NA,28000,15,0,61685,1100
22,Hl.m. Praha,1994-03-23,monthly,1,0,FALSE,NA,NA,NA,NA,NA,27600,15,0,68160,1100
23,Sokolov,1993-05-22,monthly,1,0,FALSE,NA,NA,NA,NA,NA,40480,15,0,95299,800
24,Ostrava - mesto,1996-12-05,monthly,1,0,FALSE,NA,NA,NA,NA,NA,26800,15,0,49091,1000
25,Frydek - Mistek,1996-07-28,monthly,1,0,TRUE,30276,2523,12,expired,FALSE,63300,15,0,134210,900
26,Usti nad Orlici,1993-08-08,monthly,1,0,FALSE,NA,NA,NA,NA,NA,29100,15,0,83469,800
27,Opava,1993-09-26,monthly,1,0,FALSE,NA,NA,NA,NA,NA,9500,15,0,40464,900
29,Melnik,1994-11-24,monthly,2,0,FALSE,NA,NA,NA,NA,NA,18000,8,0,59950,700
30,Liberec,1995-03-04,monthly,1,0,FALSE,NA,NA,NA,NA,NA,75600,15,0,149154,400
31,Frydek - Mistek,1994-04-27,monthly,1,0,FALSE,NA,NA,NA,NA,NA,61700,15,0,137131,800
32,Kolin,1995-08-28,monthly,1,0,FALSE,NA,NA,NA,NA,NA,21500,15,0,90565,700
33,Domazlice,1993-08-26,monthly,1,1,FALSE,NA,NA,NA,NA,NA,63100,15,22,123696,600
35,Prerov,1993-07-07,monthly,1,0,FALSE,NA,NA,NA,NA,NA,14950,15,0,32520,600
36,Hl.m. Praha,1993-07-01,monthly,1,0,FALSE,NA,NA,NA,NA,NA,41120,15,0,85055,500
37,Strakonice,1997-08-18,monthly,1,0,TRUE,318480,5308,60,current,TRUE,43200,0,0,104762,-1011
39,Liberec,1993-09-22,monthly,1,0,FALSE,NA,NA,NA,NA,NA,7300,15,0,36322,1100
40,Zlin,1993-10-25,monthly,1,0,FALSE,NA,NA,NA,NA,NA,13000,15,0,41560,700
41,Olomouc,1997-08-02,monthly,1,0,FALSE,NA,NA,NA,NA,NA,19000,15,0,100992,800
42,Most,1996-08-16,monthly,1,0,FALSE,NA,NA,NA,NA,NA,11000,15,0,45322,800
43,Liberec,1994-06-12,monthly,1,1,FALSE,NA,NA,NA,NA,NA,38560,15,35,99572,1100
44,Ceska Lipa,1993-05-10,monthly,1,0,FALSE,NA,NA,NA,NA,NA,11350,15,0,29482,400
